motion_param,metric,n_empirical,n_null,mean_empirical,std_empirical,mean_null,std_null,effect_size,mann_whitney_u,p_value,p_fdr,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni
rot_x,PLV,28,728,0.2117461933609704,0.13549711133280035,0.15638345328579858,0.08495202638015985,0.05536274007517181,12321.0,0.030256867158547026,0.04734053007725451,0.18154120295128215,True,True,False
rot_x,awPLV,28,728,0.3073511261879288,0.18718274116350395,0.2452319497691078,0.14511486474422536,0.062119176418821004,12347.0,0.02871917922138363,0.04307876883207545,0.1723150753283018,True,True,False
rot_y,PLV,28,728,0.22481220102247135,0.10702470787550954,0.15873130329516108,0.08576722125250362,0.06608089772731027,13792.0,0.0007511395912508636,0.0045068375475051815,0.0045068375475051815,True,True,True
rot_y,awPLV,28,728,0.3260260344773366,0.1598975867330674,0.23445035315051224,0.1199743913427425,0.09157568132682434,13716.0,0.0009442732613693611,0.005665639568216167,0.005665639568216167,True,True,True
rot_z,PLV,28,728,0.20781334170702934,0.1240335522471998,0.16383707094231634,0.09302549026082481,0.043976270764713,12185.0,0.03945044173104542,0.04734053007725451,0.23670265038627253,True,True,False
rot_z,awPLV,28,728,0.3009297697556134,0.1761947482522765,0.22535273635712316,0.12375543486866197,0.07557703339849026,12657.0,0.014877532759556864,0.03258339383858106,0.08926519655734119,True,True,False
trans_x,PLV,28,728,0.18553153112771176,0.09192441380137764,0.1516492361148263,0.07939714840281799,0.03388229501288545,12263.0,0.03393385893824166,0.04734053007725451,0.20360315362944997,True,True,False
trans_x,awPLV,28,728,0.27716127149117636,0.12157758642213298,0.22464884028184562,0.11276097633864281,0.052512431209330745,12616.0,0.01629169691929053,0.03258339383858106,0.09775018151574319,True,True,False
trans_y,PLV,28,728,0.21741633609084252,0.12190523486394983,0.16184958327847673,0.0853144134522765,0.05556675281236578,12813.0,0.01041904410379028,0.03125713231137084,0.06251426462274168,True,True,False
trans_y,awPLV,28,728,0.28114222786967275,0.16706955967834564,0.23666122982989796,0.1233140019137768,0.04448099803977479,11584.0,0.10989184957182951,0.1318702194861954,0.6593510974309771,False,False,False
trans_z,PLV,28,728,0.1674733855994446,0.10235265525426686,0.15873653891727954,0.0866294440118276,0.008736846682165067,10391.0,0.43052074708239024,0.43052074708239024,1.0,False,False,False
trans_z,awPLV,28,728,0.24284979991759248,0.14189121361177126,0.23164432431156431,0.12185836110133832,0.011205475606028165,10134.0,0.5205717532534108,0.5205717532534108,1.0,False,False,False
